line,start,end,money saved,best_path
1,CRUCE TABLERO,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.1,CRUCE TABLERO -> LA PARDILLA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
1,CRUCE VALLE DE JINAMAR,ARGUINEGUÍN,0.1,CRUCE VALLE DE JINAMAR -> BAHÍA  FELÍZ -> ARGUINEGUÍN
1,CRUCE VALLE DE JINAMAR,PATALAVACA,0.1,CRUCE VALLE DE JINAMAR -> DOCTORAL -> PATALAVACA
1,CRUCE VALLE DE JINAMAR,PUERTO RICO,0.1,CRUCE VALLE DE JINAMAR -> CRUCE ARINAGA -> PUERTO RICO
1,FARO - ESTACIÓN MASPALOMAS,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.2,FARO - ESTACIÓN MASPALOMAS -> CRUCE DE MELENARA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
1,JUAN GRANDE ,CRUCE DE MOGÁN,0.05,JUAN GRANDE  -> ARGUINEGUÍN -> CRUCE DE MOGÁN
1,JUAN GRANDE ,PLAYA DEL CURA,0.05,JUAN GRANDE  -> ARGUINEGUÍN -> PLAYA DEL CURA
1,JUAN GRANDE ,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.1,JUAN GRANDE  -> CRUCE TABLERO -> PUERTO MOGÁN - ESTACIÓN MOGÁN
1,LA PARDILLA,ARGUINEGUÍN,0.1,LA PARDILLA -> CRUCE TABLERO -> ARGUINEGUÍN
1,LA PARDILLA,CRUCE DE MOGÁN,0.05,LA PARDILLA -> CRUCE TABLERO -> CRUCE DE MOGÁN
1,LA PARDILLA,PATALAVACA,0.2,LA PARDILLA -> CRUCE TABLERO -> PATALAVACA
1,LA PARDILLA,PLAYA DEL CURA,0.05,LA PARDILLA -> CRUCE TABLERO -> PLAYA DEL CURA
1,LA PARDILLA,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.05,LA PARDILLA -> CRUCE TABLERO -> PUERTO MOGÁN - ESTACIÓN MOGÁN
1,LA PARDILLA,PUERTO RICO,0.15,LA PARDILLA -> CRUCE TABLERO -> PUERTO RICO
1,LA PARDILLA,TAURO,0.3,LA PARDILLA -> CRUCE SARDINA -> TAURO
1,MOGÁN PUEBLO,BAHÍA  FELÍZ,0.2,MOGÁN PUEBLO -> ARGUINEGUÍN -> BAHÍA  FELÍZ
1,MOGÁN PUEBLO,C.C. ATLÁNTICO (VECINDARIO),0.3,MOGÁN PUEBLO -> TAURO -> C.C. ATLÁNTICO (VECINDARIO)
1,MOGÁN PUEBLO,CRUCE ARINAGA,0.2,MOGÁN PUEBLO -> PLAYA DEL INGLÉS - MASPALOMAS -> CRUCE ARINAGA
1,MOGÁN PUEBLO,CRUCE SARDINA,0.3,MOGÁN PUEBLO -> TAURO -> CRUCE SARDINA
1,MOGÁN PUEBLO,JUAN GRANDE ,0.2,MOGÁN PUEBLO -> ARGUINEGUÍN -> JUAN GRANDE 
1,MOGÁN PUEBLO,PARQUE TROPICAL,0.5,MOGÁN PUEBLO -> PATALAVACA -> PARQUE TROPICAL
1,MOGÁN PUEBLO,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.3,MOGÁN PUEBLO -> CRUCE DE MELENARA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
1,PATALAVACA,AEROPUERTO DE GRAN CANARIA ,0.1,PATALAVACA -> MORRO BESUDO -> AEROPUERTO DE GRAN CANARIA 
1,PATALAVACA,CRUCE DE GANDO,0.1,PATALAVACA -> MORRO BESUDO -> CRUCE DE GANDO
1,PATALAVACA,CRUCE VALLE DE JINAMAR,0.1,PATALAVACA -> DOCTORAL -> CRUCE VALLE DE JINAMAR
1,PATALAVACA,LA PARDILLA,0.2,PATALAVACA -> CRUCE TABLERO -> LA PARDILLA
1,PLAYA DEL CURA,BAHÍA  FELÍZ,0.05,PLAYA DEL CURA -> ARGUINEGUÍN -> BAHÍA  FELÍZ
1,PLAYA DEL CURA,C.C. ATLÁNTICO (VECINDARIO),0.05,PLAYA DEL CURA -> ARGUINEGUÍN -> C.C. ATLÁNTICO (VECINDARIO)
1,PLAYA DEL CURA,CRUCE SARDINA,0.05,PLAYA DEL CURA -> ARGUINEGUÍN -> CRUCE SARDINA
1,PLAYA DEL CURA,JUAN GRANDE ,0.05,PLAYA DEL CURA -> ARGUINEGUÍN -> JUAN GRANDE 
1,PLAYA DEL CURA,LA PARDILLA,0.05,PLAYA DEL CURA -> CRUCE TABLERO -> LA PARDILLA
1,PLAYA DEL CURA,PARQUE TROPICAL,0.4,PLAYA DEL CURA -> PATALAVACA -> PARQUE TROPICAL
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,BAHÍA  FELÍZ,0.1,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE TABLERO -> BAHÍA  FELÍZ
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,C.C. ATLÁNTICO (VECINDARIO),0.1,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE TABLERO -> C.C. ATLÁNTICO (VECINDARIO)
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,CRUCE ARINAGA,0.1,PUERTO MOGÁN - ESTACIÓN MOGÁN -> SAN FERNANDO - MASPALOMAS -> CRUCE ARINAGA
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,CRUCE SARDINA,0.1,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE TABLERO -> CRUCE SARDINA
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,JUAN GRANDE ,0.1,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE TABLERO -> JUAN GRANDE 
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,LA PARDILLA,0.05,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE TABLERO -> LA PARDILLA
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,PARQUE TROPICAL,0.5,PUERTO MOGÁN - ESTACIÓN MOGÁN -> PATALAVACA -> PARQUE TROPICAL
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,PLAYA DEL INGLÉS - MASPALOMAS,0.55,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE DEL PAJAR -> PLAYA DEL INGLÉS - MASPALOMAS
1,PUERTO MOGÁN - ESTACIÓN MOGÁN,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.3,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE DE MELENARA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
1,PUERTO RICO,CRUCE DE MELENARA,0.05,PUERTO RICO -> CRUCE ARINAGA -> CRUCE DE MELENARA
1,PUERTO RICO,LA PARDILLA,0.15,PUERTO RICO -> CRUCE TABLERO -> LA PARDILLA
1,PUERTO RICO,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.05,PUERTO RICO -> CRUCE ARINAGA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
1,SAN FERNANDO - MASPALOMAS,CRUCE DE MOGÁN,0.05,SAN FERNANDO - MASPALOMAS -> ARGUINEGUÍN -> CRUCE DE MOGÁN
1,SAN FERNANDO - MASPALOMAS,PLAYA DEL CURA,0.05,SAN FERNANDO - MASPALOMAS -> ARGUINEGUÍN -> PLAYA DEL CURA
1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),BAHÍA  FELÍZ,0.65,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> CRUCE DE MELENARA -> BAHÍA  FELÍZ
1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),CRUCE FARO ,0.2,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> CRUCE DE MELENARA -> CRUCE FARO 
1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),CRUCE TABLERO,0.1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> LA PARDILLA -> CRUCE TABLERO
1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),FARO - ESTACIÓN MASPALOMAS,0.2,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> CRUCE DE MELENARA -> FARO - ESTACIÓN MASPALOMAS
1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),PUERTO MOGÁN - ESTACIÓN MOGÁN,0.3,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> CRUCE DE MELENARA -> PUERTO MOGÁN - ESTACIÓN MOGÁN
1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),PUERTO RICO,0.05,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> CRUCE ARINAGA -> PUERTO RICO
