line,start,end,money saved,best_path
220,TAMARACEITE,LAS ARBEJAS,0.1,TAMARACEITE -> VALLESECO -> LAS ARBEJAS
220,TAMARACEITE,LOS GARAJES,0.1,TAMARACEITE -> VALLESECO -> LOS GARAJES
321,CAMPUS UNIVERSITARIO ,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.3,CAMPUS UNIVERSITARIO  -> CRUCE DE MELENARA -> PUERTO MOGÁN - ESTACIÓN MOGÁN
321,CRUCE DE MOGÁN,SAN FERNANDO - MASPALOMAS,0.05,CRUCE DE MOGÁN -> ARGUINEGUÍN -> SAN FERNANDO - MASPALOMAS
321,LOMO BLANCO - CAMPUS UNIVERSITARIO ,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.3,LOMO BLANCO - CAMPUS UNIVERSITARIO  -> CRUCE DE MELENARA -> PUERTO MOGÁN - ESTACIÓN MOGÁN
321,PUERTO MOGÁN - ESTACIÓN MOGÁN,CAMPUS UNIVERSITARIO ,0.3,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE DE MELENARA -> CAMPUS UNIVERSITARIO 
321,PUERTO MOGÁN - ESTACIÓN MOGÁN,LOMO BLANCO - CAMPUS UNIVERSITARIO ,0.3,PUERTO MOGÁN - ESTACIÓN MOGÁN -> CRUCE DE MELENARA -> LOMO BLANCO - CAMPUS UNIVERSITARIO 
321,SAN FERNANDO - MASPALOMAS,CRUCE DE MOGÁN,0.05,SAN FERNANDO - MASPALOMAS -> ARGUINEGUÍN -> CRUCE DE MOGÁN
325,AGAETE,CAMPUS UNIVERSITARIO ,0.1,AGAETE -> LLANO ALEGRE -> CAMPUS UNIVERSITARIO 
325,CRUCE DE PINEDA - GÁLDAR,CAMPUS UNIVERSITARIO ,0.1,CRUCE DE PINEDA - GÁLDAR -> SAN ANDRÉS -> CAMPUS UNIVERSITARIO 
325,SAN ISIDRO - GÁLDAR,CAMPUS UNIVERSITARIO ,0.1,SAN ISIDRO - GÁLDAR -> SAN ANDRÉS -> CAMPUS UNIVERSITARIO 
